stop_id,stop_name,stop_name_new,stop_short_name,stop_lat,stop_lon,operational_status,areas,region_id,region_name,district_id,district_name,municipality_id,municipality_name,parish_id,parish_name,locality,jurisdiction,stop_code,tts_stop_name,platform_code,parent_station,location_type,stop_url,has_pole,has_cover,has_shelter,shelter_code,shelter_maintainer,has_mupi,has_bench,has_trash_bin,has_lighting,has_electricity,docking_bay_type,last_infrastructure_maintenance,last_infrastructure_check,has_flag,flag_maintainer,has_pip_static,has_pip_audio,pip_audio_code,has_pip_realtime,pip_realtime_code,has_h2oa_signage,has_schedules,has_tactile_schedules,has_network_map,last_schedules_maintenance,last_schedules_check,last_flag_maintenance,last_flag_check,has_sidewalk,sidewalk_type,has_crossing,has_flat_access,has_wide_access,has_tactile_access,has_abusive_parking,wheelchair_boarding,last_accessibility_maintenance,last_accessibility_check,near_health_clinic,near_hospital,near_university,near_school,near_police_station,near_fire_station,near_shopping,near_historic_building,near_transit_office,near_beach,subway,light_rail,train,boat,airport,bike_sharing,bike_parking,car_parking
120305,R Angra Heroísmo (Escadinhas),a definir,a definir,38.721763,-9.266498,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120305,Rua Angra Heroísmo ( Escadinhas ),,,0,https://www.carrismetropolitana.pt/stops/120305,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120306,R Angra Heroísmo (Fte Escadinhas),a definir,a definir,38.721833,-9.266452,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120306,Rua Angra Heroísmo ( Frente Escadinhas ),,,0,https://www.carrismetropolitana.pt/stops/120306,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120307,R Qta Bonfim (X) R Marquez Sá Bandeira,a definir,a definir,38.720458,-9.265822,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120307,Cruzamento Entre ( Rua Quinta Bonfim ) E Rua Marquez Sá Bandeira,,,0,https://www.carrismetropolitana.pt/stops/120307,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120308,R Qta Bonfim (X) Marquez Sá Bandeira,a definir,a definir,38.720677,-9.265873,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120308,Cruzamento Entre ( Rua Quinta Bonfim ) E Marquez Sá Bandeira,,,0,https://www.carrismetropolitana.pt/stops/120308,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120309,Queijas (PSP),a definir,a definir,38.720514,-9.263724,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Queijas,,120309,Queijâs ( Polícia ),,,0,https://www.carrismetropolitana.pt/stops/120309,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120310,R Marques Sá Bandeira (Fte PSP),a definir,a definir,38.720572,-9.264379,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120310,Rua Marques Sá Bandeira ( Frente Polícia ),,,0,https://www.carrismetropolitana.pt/stops/120310,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120313,R João XXI (Igreja),a definir,a definir,38.718816,-9.263157,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120313,Rua João Vinte Um ( Igreja ),,,0,https://www.carrismetropolitana.pt/stops/120313,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120315,Av Tomás Ribeiro (Rot Queijas),a definir,a definir,38.715391,-9.262512,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120315,Avenida Tomás Ribeiro ( Rotunda Queijâs ),,,0,https://www.carrismetropolitana.pt/stops/120315,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120317,Av Tomás Ribeiro (Tv Escadinhas),a definir,a definir,38.724371,-9.246609,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120317,Avenida Tomás Ribeiro ( Travessa Escadinhas ),,,0,https://www.carrismetropolitana.pt/stops/120317,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120319,Av 25 de Abril 34,a definir,a definir,38.714259,-9.243410,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120319,Avenida 25 De Abril Número 34,,,0,https://www.carrismetropolitana.pt/stops/120319,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
